country,year,msw_gen_t,msw_trt_t,gdp_meur,population,msw_data_flag,log_gdp,log_pop,log_msw
EL,2023,5440000.0,5440000.0,204411.3,10401868.0,reported,12.227889419540935,16.157495963367303,15.509289618832126
ES,2004,25746000.0,22361000.0,994894.0,,reported,13.810391477802407,,17.063789833201717
ES,2005,25683000.0,22554000.0,1030224.9,,reported,13.845287685885596,,17.06133985239273
ES,2006,26209000.0,26209000.0,1071881.4,,reported,13.884925980164097,,17.081613421195158
ES,2007,26154000.0,26154000.0,1109756.4,,reported,13.919651089744306,,17.079512700448586
ES,2008,25317000.0,25317000.0,1118270.0,,reported,13.927293406223466,,17.046986664808212
ES,2009,25108000.0,25108000.0,1076132.1,,reported,13.888883781685035,,17.03869707841956
ES,2010,23774000.0,23774000.0,1077145.0,,reported,13.889824580316768,,16.984103104522706
ES,2011,22672000.0,22672000.0,1070252.1,,reported,13.883404786163641,,16.9366412409126
ES,2012,21896000.0,21896000.0,1039588.2,,reported,13.854335231165624,,16.90181452970265
ES,2013,21184000.0,21184000.0,1024749.9,,reported,13.839959140781803,,16.868756737718872
ES,2014,20836000.0,20836000.0,1040331.1,,reported,13.855049585834665,,16.852192817847218
ES,2015,21158000.0,21158000.0,1082577.6,46425722.0,reported,13.89485542220171,17.65336421704765,16.867528642528857
ES,2016,21542000.0,21542000.0,1114136.4,46418884.0,reported,13.923590133625705,17.653216917160083,16.88551507589285
ES,2017,22018000.0,22018000.0,1146402.2,46497393.0,reported,13.9521390745452,17.654906804469782,16.907370858612484
ES,2018,22229000.0,22229000.0,1173863.3,46645070.0,reported,13.975810833067573,17.658077799072824,16.916908300673047
ES,2019,22262000.0,22262000.0,1196884.8,46918951.0,reported,13.995232739307182,17.663932224295873,16.918391747035308
ES,2020,21928000.0,21928000.0,1065944.8,47318050.0,reported,13.879372100003197,17.672402387434147,16.903274916964758
ES,2021,22853000.0,22853000.0,1137183.4,47400798.0,reported,13.94406506139602,17.674149621966627,16.94459295771502
ES,2022,23153000.0,23153000.0,1209625.6,47486843.0,reported,14.005821448204616,17.675963241162517,16.957634919733337
ES,2023,22433000.0,22433000.0,1239392.8,48085361.0,reported,14.030132140230725,17.68848834363927,16.926043646995442
FI,2004,2453000.0,2532000.0,174837.8,,reported,12.071613965965117,,14.712822323240626
FI,2005,2506000.0,2547000.0,179693.6,,reported,12.099008457223679,,14.73419841443815
FI,2006,2600000.0,2600000.0,186916.5,,reported,12.138417272050996,,14.77102200299171
FI,2007,2675000.0,2675000.0,196847.0,,reported,12.190182056225273,,14.799459938312244
FI,2008,2768000.0,2832000.0,198391.2,,reported,12.197996118010495,,14.833635595719697
FI,2009,2562000.0,2562000.0,182369.0,,reported,12.113787386037835,,14.756298761438817
